title,division,department,salary
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,375
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,374
Tca Line Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,373
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,372
Orientation Peer Leader,Student Services,Student Services,371
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,370
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,363
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,361
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,360
PT Cafe Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,352
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,350
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,350
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,350
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,350
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,350
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,350
Temp - Allied Health,Allied Health,Allied Health,344
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,342
Recreation Associate,Athletics,Athletics,333
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,333
Adjunct - Social Sciences,Social Sciences,Social Sciences,330
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,330
Tutor - Walk-In,Learning Services,Learning Services,328
Office Clerk,Jones County Regional Center,Jones County Regional Center,326
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,324
Tutor,Instruction,Instruction,323
Work Study - Athletics,Athletics,Athletics,322
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,320
Tutor,Instruction,Instruction,318
Work Study - Dean of Students Office,Dean of Students Office,Dean of Students Office,317
Bakery Lead Cook,The Hotel at Kirkwood Center,The Hotel at Kirkwood Center,317
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,316
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,315
Tutor,Instruction,Instruction,306
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,304
Temporary Assignment,Human Resources,Human Resources,300
Communique Staff,Social Sciences,Social Sciences,300
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,300
Work Study - Athletics,Athletics,Athletics,289
Temp - Industrial Tech,Industrial Technologies,Industrial Technologies,288
Adjunct - Surgical Tech/Health Science,Allied Health,Allied Health,284
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,280
Tutor,Instruction,Instruction,276
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,275
Temp - Athletics,Athletics,Athletics,270
Seasonal Bookstore Associate,Bookstore,Bookstore,266
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,263
Communique Staff,Social Sciences,Social Sciences,261
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,260
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,259
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,258
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,253
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,250
Work Study-Resource Ctr/HS,Secondary Programs,Secondary Programs,248
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,247
Tutor,Instruction,Instruction,245
Tutor,Instruction,Instruction,242
TCA Lead Cook,The Hotel at Kirkwood Center,The Hotel at Kirkwood Center,242
Work Study - Athletics,Athletics,Athletics,240
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,240
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,237
Tutor,Instruction,Instruction,231
Tutor,Instruction,Instruction,226
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,225
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,220
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,211
Tutor,Instruction,Instruction,204
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,202
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,202
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,202
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,200
Catering Assistant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,192
Career Coach,Dean of Students Office,Dean of Students Office,192
Tutor,Instruction,Instruction,191
Orientation Peer Leader,Student Services,Student Services,190
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,188
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,188
Grounds Worker,Facilities & Security,Facilities & Security,187
LN- Architect/Construction,Linn County Regional Center,Linn County Regional Center,185
Tutor,Instruction,Instruction,183
Tutor,Instruction,Instruction,182
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,180
Student Support Specialist,Enrollment Management,Enrollment Management,178
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,175
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,175
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,175
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,175
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,175
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,175
Tutor,Instruction,Instruction,167
Work Study Library,Library Services,Library Services,165
Temporary Assignment,Human Resources,Human Resources,165
Tutor,Instruction,Instruction,161
Instructor,Secondary Programs,Secondary Programs,160
Temp Secondary Programs,Secondary Programs,Secondary Programs,160
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,158
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,158
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,158
Warehouse Clerk,Facilities & Security,Facilities & Security,152
Tutor,Instruction,Instruction,151
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,150
Recreation Associate,Dean of Students Office,Dean of Students Office,145
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,144
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,143
Tutor,Instruction,Instruction,142
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,142
Grounds Worker,Facilities & Security,Facilities & Security,140
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,140
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,140
Tutor,Instruction,Instruction,140
Recreation Associate,Athletics,Athletics,135
Temp - Athletics,Athletics,Athletics,135
Temp - Athletics,Athletics,Athletics,135
Office Clerk,Belle Plain Center,Belle Plain Center,135
Farm Technician,Agricultural Science,Agricultural Science,130
Tutor,Instruction,Instruction,129
Lab Associate,IT Services,IT Services,129
Tutor,Instruction,Instruction,126
Temp - Athletics,Athletics,Athletics,125
Tutor,Instruction,Instruction,124
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,123
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,121
Tutor,Instruction,Instruction,120
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,120
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,120
Overnight Guest Services Rep,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,119
Weekend Banquet Set-Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,119
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,118
Tutor,Instruction,Instruction,116
Tutor,Instruction,Instruction,116
Tutor,Instruction,Instruction,113
Tutor,Instruction,Instruction,113
Tutor,Instruction,Instruction,108
Adjunct - Dental Hygiene,Allied Health,Allied Health,107
Tutor,Instruction,Instruction,102
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,100
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,100
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,100
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,100
Temp - Allied Health,Allied Health,Allied Health,100
Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,99
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,99
Tutor,Instruction,Instruction,97
Temp - Athletics,Athletics,Athletics,90
Temp - Athletics,Athletics,Athletics,90
Temp - Athletics,Athletics,Athletics,90
Temp - Athletics,Athletics,Athletics,90
Temp - Athletics,Athletics,Athletics,90
Temp - Athletics,Athletics,Athletics,90
Temp - Athletics,Athletics,Athletics,90
Tutor,Instruction,Instruction,89
Seasonal Grounds Worker,Facilities & Security,Facilities & Security,88
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,88
Temp Nurse,Nursing Programs,Nursing Programs,88
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,86
Tutor,Instruction,Instruction,83
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,82
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,78
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,78
Communique Staff,Social Sciences,Social Sciences,78
Work Study - Athletics,Athletics,Athletics,76
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,76
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,76
Tutor,Instruction,Instruction,75
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,75
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,75
Temp Ag Worker,Agricultural Science,Agricultural Science,74
Tutor,Instruction,Instruction,73
Communique Staff,Social Sciences,Social Sciences,68
Tutor,Instruction,Instruction,65
Temp - Athletics,Athletics,Athletics,60
Temp - Athletics,Athletics,Athletics,60
Night Worker,Athletics,Athletics,60
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,60
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,59
Farm Technician,Agricultural Science,Agricultural Science,58
Communique Staff,Social Sciences,Social Sciences,57
Temporary Assignment,Human Resources,Human Resources,56
Work Study Info Technologies,IT Services,IT Services,55
Tutor,Instruction,Instruction,54
Tutor,Instruction,Instruction,51
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,50
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,50
Adjunct - English Education,Communication/English/Media,Communication/English/Media,50
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,50
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,50
Adjunct - Criminal Justice,Social Sciences,Social Sciences,50
Tutor,Instruction,Instruction,46
Tutor,Instruction,Instruction,46
Communique Staff,Social Sciences,Social Sciences,45
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,45
Tutor,Instruction,Instruction,43
Tutor,Instruction,Instruction,43
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,40
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,40
Tutor,Instruction,Instruction,35
Tutor,Instruction,Instruction,30
Tca Line Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,28
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,27
Tutor,Instruction,Instruction,27
Temp - Athletics,Athletics,Athletics,25
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,25
Tutor,Instruction,Instruction,22
Tutor,Instruction,Instruction,22
Night Bell Staff,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,20
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,20
Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,19
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,19
Tutor,Instruction,Instruction,19
Tutor,Instruction,Instruction,19
Communique Staff,Social Sciences,Social Sciences,15
Communique Staff,Social Sciences,Social Sciences,11
Tutor,Instruction,Instruction,11
