title,division,department,salary
IA -Patient Care,Williamsburg Center,Williamsburg Center,3534
Office Clerk,Business and Information Tech,Business and Information Tech,3532
Temp Bus Driver,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3530
Program Assistant,Learning Services,Learning Services,3485
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3476
Cafe Lead Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3470
Tutor,Instruction,Instruction,3454
Tca Line Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3447
ICCAC Staff,ICCAC,ICCAC,3415
IEC Associate,Finance,Finance,3406
Office Clerk,Iowa City Campus,Iowa City Campus,3404
Instructor,Secondary Programs,Secondary Programs,3391
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3320
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,3292
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3283
CC in HS Administration,College Credit in High School,College Credit in High School,3280
Adjunct - English Education,Communication/English/Media,Communication/English/Media,3279
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3265
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3265
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3251
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3250
Work Study Busn & Info Tech,Business and Information Tech,Business and Information Tech,3235
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3224
Adjunct - Math/Science,Math/Science,Math/Science,3217
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3198
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3195
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,3169
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3169
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3156
Work Study - Offc Childcare,Financial Aid,Financial Aid,3148
Work Study - Athletics,Athletics,Athletics,3148
Work Study-Math/Science,Math/Science,Math/Science,3147
Work Study - Admissions,Admissions,Admissions,3129
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3110
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,3105
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,3100
Recreation Associate,Dean of Students Office,Dean of Students Office,3099
Pt Cafe Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3079
Farm Technician,Agricultural Science,Agricultural Science,3068
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3057
Test Center Associate,Learning Services,Learning Services,3054
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3048
Work Study Arts & Humanities,Arts/Humanities,Arts/Humanities,3036
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3000
